Acceptable Delay to Starting Service	The team's goal to start patients in any service within one week of their intake appointment.
Adjuctive % w PTSD	The fraction of patients who have PTSD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
Adjuctive Patients w PTSD	The numbers of patients in each service who have PTSD as a primary diagnosis.
Adjuctive Starting a Service w PTSD	The number of patients per week starting PTSD treatment after developing an individual treatment plan in an intake appointment.
Adjunctive % of Hours per Service	The ratio of hours used for any one service compared to the total team hours.
Adjunctive % w AUD	The fraction of patients who have AUD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
Adjunctive % w DEP	The fraction of patients who have Depression as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
Adjunctive % w Other Needs	The fraction of patients who have Other Needs as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
Adjunctive % w OUD	The fraction of patients who have OUD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
Adjunctive Actual Engagement Time	The actual time patients spend in a service depends on both the median time estimated from the team's visit data and the effect of provider fatigue on patient engagement.
Adjunctive Actual Hours Available for Service	The number of hours the team has allocated to providing patient-facing care in each service, including both bookable appointments on the calendar and unofficial overbooking/overtime hours. (hrs/wk)
Adjunctive Actual Return Visit Interval	The actual average return-to-clinic visit interval that patients experience. This is either the same as the RVI used when appointments are scheduled, or potentially longer, if the team reacts to work pressure by extending existing patients' RVI. Longer than desired RVIs do not cause patients or providers to cancel appointments. In theory, the actual RVI could be pushed to more than one year, but we've capped it at 52 weeks. (wks)
Adjunctive Actual Service Capacity	The effective total hours of clinical time available, based on the percentage of the total team hours allocated to each service, and the missed appointment percentage for each service. This assumes that all missed appointments are eventually rescheduled.
Adjunctive Actual True Missed Appointment %	The percent of appointments missed and rescheduled is affected by both the baseline rate and the effect of fatigue due to accumulated long hours. It is constrained from going below zero. The baseline rate can be replaced by a user-generated value between zero and 100%.
Adjunctive Appointment Rate for Service Capacity	The appointment completion rate is the rate at which appointments would be completed in each service by the current team at the standard allocation of hours and hours lost to appointment re-scheduling for each service. Used to initialize the model, so the referral, start, and end rates for patients in each service is in equilibrium.
